"node1","node2","p.corr"
"Cre01.g000200","Cre01.g001600",-0.1418
"Cre01.g000150","Cre01.g001664",0.1413
"Cre01.g000050","Cre01.g001664",-0.1412
"Cre01.g001200","Cre01.g001400",0.1407
"Cre01.g000017","Cre01.g001664",-0.1406
"Cre01.g000950","Cre01.g002201",-0.1406
"Cre01.g000250","Cre01.g000300",0.1401
"Cre01.g000600","Cre01.g000900",-0.1401
"Cre01.g000700","Cre01.g001450",-0.1401
"Cre01.g000150","Cre01.g001750",0.1399
"Cre01.g000350","Cre01.g001750",-0.1387
"Cre01.g001150","Cre01.g001678",0.1382
"Cre01.g000700","Cre01.g000800",0.1378
"Cre01.g001750","Cre01.g002250",0.1374
"Cre01.g000250","Cre01.g002234",-0.137
"Cre01.g000950","Cre01.g001200",-0.1369
"Cre01.g001350","Cre01.g001650",0.1369
"Cre01.g000050","Cre01.g002227",0.1369
"Cre01.g001150","Cre01.g002250",0.1367
"Cre01.g001200","Cre01.g001950",-0.1358
"Cre01.g000400","Cre01.g002203",0.1358
"Cre01.g000800","Cre01.g002200",0.1349
"Cre01.g000200","Cre01.g000400",0.1332
"Cre01.g000700","Cre01.g001750",-0.1331
"Cre01.g000017","Cre01.g001550",0.1329
"Cre01.g001750","Cre01.g002203",0.1329
"Cre01.g001200","Cre01.g001700",-0.1328
"Cre01.g001600","Cre01.g002203",-0.1327
"Cre01.g000750","Cre01.g002201",-0.1327
"Cre01.g001450","Cre01.g001650",0.1324
"Cre01.g000600","Cre01.g002203",0.1323
"Cre01.g000100","Cre01.g000800",-0.1322
"Cre01.g000033","Cre01.g002200",-0.1319
"Cre01.g000450","Cre01.g000600",-0.1318
"Cre01.g000900","Cre01.g001664",0.1304
"Cre01.g001400","Cre01.g001678",0.1303
"Cre01.g000950","Cre01.g001750",0.1295
"Cre01.g000600","Cre01.g001800",0.1294
"Cre01.g001450","Cre01.g001600",-0.1289
"Cre01.g000100","Cre01.g001664",-0.1284
"Cre01.g000500","Cre01.g001750",-0.1284
"Cre01.g001400","Cre01.g002100",0.1283
"Cre01.g000250","Cre01.g001550",0.1282
"Cre01.g000100","Cre01.g000250",-0.128
"Cre01.g000017","Cre01.g000800",0.128
"Cre01.g000400","Cre01.g000800",-0.128
"Cre01.g001700","Cre01.g002100",0.128
"Cre01.g001400","Cre01.g001950",0.1273
"Cre01.g001678","Cre01.g002234",0.1272
"Cre01.g000300","Cre01.g001600",0.1264
"Cre01.g000150","Cre01.g000800",0.1262
"Cre01.g001983","Cre01.g002234",0.1261
"Cre01.g000100","Cre01.g000600",-0.126
"Cre01.g000100","Cre01.g001100",0.126
"Cre01.g001400","Cre01.g001650",-0.1258
"Cre01.g001450","Cre01.g002050",-0.1257
"Cre01.g002150","Cre01.g002300",0.125
"Cre01.g002050","Cre01.g002150",-0.1249
"Cre01.g000200","Cre01.g001983",0.1248
"Cre01.g000700","Cre01.g002201",-0.1248
"Cre01.g001300","Cre01.g001650",0.1247
"Cre01.g000050","Cre01.g000300",0.1243
"Cre01.g000017","Cre01.g001501",0.1242
"Cre01.g002050","Cre01.g002234",0.1239
"Cre01.g000017","Cre01.g002227",0.1238
"Cre01.g001700","Cre01.g002234",-0.1228
"Cre01.g002150","Cre01.g002227",-0.1225
"Cre01.g000400","Cre01.g000950",-0.1224
"Cre01.g002200","Cre01.g002201",-0.1224
"Cre01.g000350","Cre01.g001700",-0.122
"Cre01.g001250","Cre01.g002100",-0.1208
"Cre01.g000017","Cre01.g000650",0.1205
"Cre01.g001250","Cre01.g001700",0.1198
"Cre01.g001100","Cre01.g002200",0.1197
"Cre01.g000050","Cre01.g000400",-0.1196
"Cre01.g000700","Cre01.g000900",0.1192
"Cre01.g000250","Cre01.g001800",-0.1189
"Cre01.g001200","Cre01.g001350",0.1182
"Cre01.g000033","Cre01.g000450",-0.1177
"Cre01.g001950","Cre01.g002150",0.1177
"Cre01.g000300","Cre01.g000500",0.1168
"Cre01.g000450","Cre01.g001983",0.1168
"Cre01.g001300","Cre01.g002201",0.1168
"Cre01.g000450","Cre01.g001150",-0.1167
"Cre01.g000750","Cre01.g001350",-0.1163
"Cre01.g000100","Cre01.g000900",-0.116
"Cre01.g000017","Cre01.g001600",-0.116
"Cre01.g000100","Cre01.g000350",-0.1159
"Cre01.g000750","Cre01.g001600",0.1154
"Cre01.g000400","Cre01.g002300",-0.1153
"Cre01.g000050","Cre01.g000250",0.115
"Cre01.g000150","Cre01.g002201",0.1145
"Cre01.g000100","Cre01.g000650",-0.1143
"Cre01.g002203","Cre01.g002234",-0.1141
"Cre01.g001250","Cre01.g002234",-0.1134
"Cre01.g000650","Cre01.g001664",0.1132
"Cre01.g000900","Cre01.g002300",-0.1129
"Cre01.g001657","Cre01.g001800",0.1128
"Cre01.g001501","Cre01.g002227",0.1127
"Cre01.g000250","Cre01.g000400",-0.1126
"Cre01.g001700","Cre01.g001950",0.1124
"Cre01.g001750","Cre01.g002234",-0.1124
"Cre01.g001250","Cre01.g001750",-0.1119
"Cre01.g001250","Cre01.g001678",-0.1118
"Cre01.g001664","Cre01.g002300",0.1114
