fromNode	toNode	weight	direction	fromAltName	toAltName
Cre16.g687450	Cre03.g160400	0.331260149071795	undirected	CPLD54	SAC1
Cre02.g110000	Cre17.g742000	0.386146378138546	undirected	Cre02.g110000	MOT8
Cre14.g628100	Cre04.g217913	0.443037445472223	undirected	Cre14.g628100	MCP19
Cre05.g242300	Cre01.g034800	0.414546998633166	undirected	EIF3D	Cre01.g034800
Cre06.g266950	Cre09.g404650	0.385153755836377	undirected	Cre06.g266950	Cre09.g404650
Cre14.g628100	Cre06.g274550	0.24266800240029	undirected	Cre14.g628100	Cre06.g274550
Cre09.g390350	Cre06.g311400	0.317165613270982	undirected	Cre09.g390350	Cre06.g311400
Cre16.g661900	Cre14.g613850	0.30248256294201	undirected	HEL61	Cre14.g613850
Cre03.g146267	Cre08.g383500	0.409669183982779	undirected	Cre03.g146267	Cre08.g383500
Cre11.g467581	Cre12.g555000	0.329408846980786	undirected	Cre11.g467581	Cre12.g555000
Cre08.g360350	Cre02.g084600	0.457903408235476	undirected	ADI1	Cre02.g084600
Cre09.g394621	Cre01.g002200	0.386589042479097	undirected	Cre09.g394621	RPB6
Cre02.g099550	Cre16.g673900	0.322639338173356	undirected	Cre02.g099550	RPC3
Cre12.g498850	Cre06.g293582	0.251253380699378	undirected	CEP12	Cre06.g293582
Cre16.g661588	Cre06.g302650	0.514281390906878	undirected	OPR102	RRM5
Cre12.g487200	Cre06.g289200	0.138918008493675	undirected	Cre12.g487200	Cre06.g289200
Cre16.g676550	Cre02.g106300	0.400344248173632	undirected	Cre16.g676550	Cre02.g106300
Cre01.g028450	Cre02.g098600	0.411716436107105	undirected	Cre01.g028450	Cre02.g098600
Cre07.g352251	Cre06.g268900	0.320035769222665	undirected	Cre07.g352251	Cre06.g268900
Cre10.g466250	Cre13.g584250	0.478710344100154	undirected	PRP20	Cre13.g584250
Cre07.g349300	Cre06.g279750	0.479241906931862	undirected	HEL41	MAP1A
Cre07.g347200	Cre07.g340550	0.356888269774735	undirected	Cre07.g347200	Cre07.g340550
Cre01.g025551	Cre03.g163700	0.454720519191933	undirected	Cre01.g025551	Cre03.g163700
Cre12.g531000	Cre08.g360001	0.368489307847954	undirected	AMT8	Cre08.g360001
Cre12.g498100	Cre12.g529500	0.509463797453087	undirected	EIF3E	Cre12.g529500
Cre06.g298450	Cre06.g257000	0.32795276296595	undirected	Cre06.g298450	SULP3
Cre02.g111200	Cre07.g325715	0.210970586559401	undirected	Cre02.g111200	Cre07.g325715
Cre14.g615950	Cre14.g629300	0.499459014414429	undirected	Cre14.g615950	Cre14.g629300
Cre02.g144800	Cre12.g555000	0.422886025658549	undirected	LCI8	Cre12.g555000
Cre05.g237400	Cre05.g234651	0.386153574552623	undirected	DAE1	Cre05.g234651
Cre13.g589800	Cre10.g441450	0.435069184949403	undirected	Cre13.g589800	Cre10.g441450
Cre12.g511400	Cre04.g217550	0.427189251269938	undirected	PPR4	EIF3C
Cre01.g011600	Cre09.g390171	0.447677092778934	undirected	Cre01.g011600	Cre09.g390171
Cre10.g430501	Cre01.g028450	0.498833692419846	undirected	Cre10.g430501	Cre01.g028450
Cre10.g446450	Cre07.g348700	0.334151896422013	undirected	Cre10.g446450	Cre07.g348700
Cre08.g375850	Cre07.g339700	0.36487315639893	undirected	Cre08.g375850	SUFC
Cre13.g570150	Cre17.g702250	0.410113681882866	undirected	Cre13.g570150	Cre17.g702250
Cre12.g520550	Cre04.g218300	0.480268006817082	undirected	TRN1	Cre04.g218300
Cre12.g489050	Cre02.g084950	0.283939755755129	undirected	PCT2	GUK1
Cre06.g271850	Cre09.g396698	0.292661180081097	undirected	Cre06.g271850	Cre09.g396698
Cre06.g263700	Cre01.g042900	0.49601822930816	undirected	Cre06.g263700	Cre01.g042900
Cre01.g018150	Cre10.g425501	0.129047160095459	undirected	Cre01.g018150	Cre10.g425501
