Gene_id,Version,Gene_names,Uniprot_id,TF
Cre15.g641200,C. reinhardtii v5.6,MCP28,A8JHJ5,
Cre02.g102250,C. reinhardtii v5.6,RPS3,A0A2K3E2C7,
Cre06.g278213,C. reinhardtii v5.6,LHCA6,Q75VY6,
Cre06.g259900,C. reinhardtii v5.6,ATPC,A8HXL8,
Cre10.g429000,C. reinhardtii v5.6,Cre10.g429000,A0A2K3D9Q5,
Cre08.g359750,C. reinhardtii v5.6,RPS9,A8JGF8,
Cre16.g660150,C. reinhardtii v5.6,Cre16.g660150,A0A2K3CTK0,
Cre16.g680700,C. reinhardtii v5.6,Cre16.g680700,A8J3W1,
Cre14.g619250,C. reinhardtii v5.6,Cre14.g619250,A8HP09,
Cre03.g149100,C. reinhardtii v5.6,CIS2,A0A2K3DVJ7,
Cre01.g010400,C. reinhardtii v5.6,FAP380,A8HP72,
Cre14.g624201,C. reinhardtii v5.6,Cre14.g624201,A0A2K3CY77,
Cre12.g546600,C. reinhardtii v5.6,FEA2,A8IYA1,
Cre09.g393150,C. reinhardtii v5.6,FOX1,Q8LL91,
Cre17.g698000,C. reinhardtii v5.6,ATP2,A8IQU3,
Cre16.g688638,C. reinhardtii v5.6,CYG33,A0A2K3CW68,
Cre10.g459250,C. reinhardtii v5.6,RPL35A,A8I0Y2,
Cre16.g666301,C. reinhardtii v5.6,RPS30,A8JF66,
Cre12.g561500,C. reinhardtii v5.6,Cre12.g561500,A8JHN0,
Cre06.g298100,C. reinhardtii v5.6,SUI1A,A8IP53,
Cre12.g507300,C. reinhardtii v5.6,LCI30,A8IK52,
Cre02.g081700,C. reinhardtii v5.6,PHC66,A0A2K3E0K4,
Cre12.g528000,C. reinhardtii v5.6,FAP303,A8J5B8,
Cre05.g238311,C. reinhardtii v5.6,Cre05.g238311,A8J889,
Cre12.g505050,C. reinhardtii v5.6,Cre12.g505050,A0A2K3D320,
Cre15.g643550,C. reinhardtii v5.6,PDX1,A0A2K3CWZ6,
Cre05.g243450,C. reinhardtii v5.6,GOX1,A0A2K3DSC2,
Cre06.g278270,C. reinhardtii v5.6,Cre06.g278270,A0A2K3DPB6,
Cre12.g558352,C. reinhardtii v5.6,Cre12.g558352,A0A2K3D5N0,
Cre06.g269950,C. reinhardtii v5.6,CDC48,A8HW56,
Cre03.g143967,C. reinhardtii v5.6,Cre03.g143967,A8J383,
Cre08.g372100,C. reinhardtii v5.6,HSP70A,A8JEU4,
Cre12.g530650,C. reinhardtii v5.6,GLN2,A8IVZ9,
Cre03.g179941,C. reinhardtii v5.6,Cre03.g179941,A8IDG9,
Cre02.g080200,C. reinhardtii v5.6,TRK1,A8IAN1,
Cre13.g590500,C. reinhardtii v5.6,FAD6,O48663,
Cre12.g528750,C. reinhardtii v5.6,RPL12,A8J597,
Cre07.g353450,C. reinhardtii v5.6,ACS3,A8JFR9,
Cre06.g290950,C. reinhardtii v5.6,RPS5,A0A2K3DQA6,
Cre06.g282000,C. reinhardtii v5.6,STA3,A0A2K3DPQ2,
